review_id,user_id,business_id,stars,useful,funny,cool,text,date
6zvfUswVZJ2mux5O2KLWZA,VegQsi_kJKltLDzhpy78bQ,mFE9V6LPpsDRUQLEBsBRRA,1,0,0,0,"I order from this restaraunt all the time usually for their bone in spear ribs, singapore mei fun, chicken wings, house lo mein and order often when it wasnt that good to begin with though it was conveinent on a late night. I had ordered a house lo mein chicken wings and ribs like usual and had a taste for pineapple on the side when i receives my delivery like always i tip the driver well and before i could get settled into my meal i noticed that my pineapple was missing so i called and notified them and i wanted them to bring it before they closed for the night and they told me they couldnt and i would have to get it the next day because their driver was gone home for the next which is not my problem i called 5 mins after he delivered to my house so i dont see why they couldnt reach him its not like we don't have cell phones in this age so I felt put off and dishonoured as a valued customer since every time I order I spend about $40 every time. So the next day I call and have to re explain with my receipt in hand and order number they promised they would bring it and they never called or showed up so I waited a day then called again and the same thing happened so at this point I'm never ordering from them again such a big disappointment",2015-09-24 14:10:13
d81YVT8beWziCWDDlbDTUg,7RPWoR8mW0GmuWvKT5Lv7A,mFE9V6LPpsDRUQLEBsBRRA,5,0,0,0,Absolutely the best Chinese food around!  Quick delivery too. Love this place!  Nicest people too.  Please reopen!  So sorry to see what accident did to your building!  Hope that no one was hurt!,2016-08-04 19:36:27
RnenmgiDPKo4wXSKN-DG_w,OmBcJYK_IYDQTIF0LzFw4g,TCdNYh5tdjoNmA1WMx3ZPg,4,1,0,2,"Rosalena's is like a time warp and I mean this in the best way possible. We stumbled upon it (literally stumbled... we'd been drinking margs) and were so surprised to find such a cute ice cream shop in a place we'd passed by hundreds of times. Complete with a counter and swivel stools, Rosalena's offers all your old school ice cream standards (all Bassett's ice cream mmm) as well as Italian sodas and a few fried things for you unlucky lactose intolerants. It's the perfect place for a milkshake sharing date. Just be warned though, margaritas, mexican food and ice cream aren't exactly the best combo. Learned that one the hard way.",2008-05-15 14:14:42
HDH793SvKHLb2O5R22iQVw,-qoyKSF2G3PkR_7XNoJfpQ,WMGc5a7s6K5xX9JPTiRppQ,1,0,0,0,"Fast easy and near my office, but BAD.  They slop the food onto your plate high school cafeteria style and don't even fain caring about whether their customers are happy.  They don't label the dishes so you don't know what you are getting.  I may go again if I really need a lunch time ""Indian"" fix, but if ever given a choice i would go to House of India or Gokul hands down.",2006-01-31 17:35:06
-kT-Rb6b1Sh6XoCwISdLPA,T6zcfyO8eR2Py9V_bK_K4w,x2J-YIFeGZ-nsezzooVA9g,1,2,1,0,"Came here during weekday lunch w/ my cousin.

Not great @ all!  Supposedly you should make reservations and I did, but when we got there, only five other tables were occupied!  Hostess was a major bitch and had a major snoot attitude -- not friendly at all!

Started with chicken dumplings....essentially just steamed dumplings w/ a ginger infused soy sauce....B-O-R-I-N-G.

Had the vegetable lasagna....AWFUL AWFUL AWFUL!  Boiled veggies on a still wet and slippery lasagna pasta, and then smothered with sauce and a little bit of ricotta?!  No way!  It was COLD and WARM spots during the consumption....the restaurant was NOT busy to churn out that kind of product....

No, never will come back.  I make it my point to always thank the hostess and ususally (if you have any common sense), it is customary to say goodbye and/or thank you....the bitches in front said SQUAT and looked confused....",2007-06-08 18:02:52
g_ihtHEuBC-CX17nkH_Ajw,8gg0mL6yj4vOL3f6mAOEgA,TCdNYh5tdjoNmA1WMx3ZPg,4,1,0,0,"I always tire of people who mention Roselena's and expensive in the same sentence. They're missing one important facet - the scrumpdiddilyumptiousness of it all.

Don't let the Victorian look or the fact that there's nothing resembling spaghetti and meatballs on the menu. This one's an Italian restaurant in a league of it's own, best gone down on when you have time to spare. The pacing here is old world, while the food is so of the new. Need I say more than Mocha Java encrusted pork chops.

And as for dessert, the best on East P'unk. Trust me - the Passyunk Smore, mon ami!",2006-09-15 16:37:53
b2a7-Mu_gsSE3W4qFUjuSg,I9yJxN2w8lh2Sv7U0WN4Gg,WMGc5a7s6K5xX9JPTiRppQ,3,0,0,0,"If what you want is really curry in a hurry, this place isn't bad. Not the most authentic Indian food ever, but considering the staff isn't Indian, it's not half bad. I like the naan.",2008-01-05 05:38:45
M5449vqrl8DoQjET_PxTRw,4PE0tDvV9Lo8VW8kDW1SFQ,x2J-YIFeGZ-nsezzooVA9g,4,2,0,0,"Great interior decorating, very lovely ambiance. The servers/waiters were very nice and friendly. Me and a buncha friends came here during restaurant week and ordered from that menu. I got the Summer Gazpacho, which has spiced shrimp, piment d'espelette, parsley croutons in it, the 12oz prime rib, and the Valrhona Chocolate Mousse. The gaspacho was alright... first time I ever tried it. The prime rib was advertised to be medium rare, but it came out to be medium well for me. Way overdone. But nonetheless it wasn't too bad... at least the tender parts anyway. And you can't go wrong with the chocolate mousse cake. Four stars for the place, though I feel it could've been better if they didn't serve everyone at once. It seemed like they cooked appetizers for everyone and then entrees for everyone to make it more efficient. That may be why the steak was overcooked.",2006-09-16 19:16:42
cJ7eLJ9k_pLU6ZTyb6ojyw,eQB-zeNwKOGk3F1xLQDp5g,mFE9V6LPpsDRUQLEBsBRRA,5,0,0,0,"This is not the best Chinese food around as a matter of fact the best around is only one block away but I give this awesome place 5 stars anyway. Why you ask? Well I'll tell you the best around is pick up only and is cash only. When I have that magic double formula at my disposal I go straight to number 5 (locals will know) however when that criteria is not met, when I need delivery or I need to use a credit card I need a place that is up to the task of serving awesome Chinese food. Enter Pearl of the East. Its been my standby for years but a car smashed through the window a couple years ago and I forgot all about this place. Well I ordered tonight. Its as good as I remember and as I type this I'm thinking I might even like the garlic sauce better then number 5. Add the fact that they were not cheap with a random assortment of sauce packets and gave a whopping 8 fortune cookies with my order (which included a free quart of won ton soup for meeting a certain dollar spent threshhold). I am glad they are back and I will most certainly return and recommend them although I may not be totally ready to break up with number 5",2018-06-22 00:00:27
nKGq6SWb2LLcOnm3USJYWw,LNNA07XzebOVESCWsFl6WA,TCdNYh5tdjoNmA1WMx3ZPg,4,1,0,1,"I'm not too proud to admit that I've never had an Italian cream soda. I am however, proud to admit that my first was at Roselena's. And it was damn good. It's creamy. It's sweet. It's refreshing. It's worth trying if you're like me and didn't grow up around here eating monkey bread and 'wuder' ice 'down the shaw'.

We were out last week checking out our hood since the weather has finally opened up a bit. It was a Friday night at around 11 and Passyunk was pretty busy. Not much was open but this quaint little tea shop slash old school ice cream parlor. They had tables out on the sidewalk and everyone had a plate with half-eaten dessert of some sort left on it. We decided to stop and have a bite. 

Along with the Italian cream, we ordered the Passyunk S'more and man, it was outrageous. And aptly named! They piled up this super rich chocolate and graham crackers in what seemed like 6-7 layers. Top that off with a mound of marshmallows that they fire right at your table with a blowtorch. You basically extinguish the flames when the mallows are charred to your liking.

Not only did everything they had look tasty (we wanted everything), but I couldn't help but notice a sign that says ""$1.00 coffee - any size"". Sure enough, I was there at 7 the next morning for that. How can you go wrong with gourmet coffee that doesn't taste like it's been burning for hours for $1.00. That kind of thing just doesn't happen these days. I've since been there at least once a day - and sometimes twice. They've always got a great selection and it's always fresh. 

I have so many yelps to write, but this morning I went for my coffee and they had an Ethiopian Yirgacheffe which seriously made my day. So as I sit here savoring it, I felt compelled to come out and say how much I love Roselena's.",2008-05-03 12:52:52
